image_path,hands_involved
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/43.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/44.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/45.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/46.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/47.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/48.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/49.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/50.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/51.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/52.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/53.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/54.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/55.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/56.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/57.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/58.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/59.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/60.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/61.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/62.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/63.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/64.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/65.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/66.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/67.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/68.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/69.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/70.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/71.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/72.jpg,one
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/73.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/74.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/75.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/76.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/77.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/78.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/79.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/80.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/81.jpg,two
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/82.jpg,two
