image_path,right_elbow_orientation
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/26.jpg,upper diagonal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/27.jpg,upper diagonal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/29.jpg,upper diagonal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/31.jpg,upper diagonal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/32.jpg,upper diagonal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/33.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/34.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/35.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/36.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/37.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/38.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/39.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/40.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/41.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/42.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/43.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/44.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/45.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/46.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/47.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/48.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/49.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/50.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/51.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/52.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/53.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/54.jpg,horizontal
/4TBHD/ISL/data_preparation/test_all/onlyface/Ishan/Go/ishan_go_5/55.jpg,horizontal
