image_path,right_finger_closeness_to_face
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_13/71.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_13/92.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Anirudh/Go/anirudh_go_15/39.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ranadeep/Thankyou/ranadeep_thankyou_11/36.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_12/43.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_13/64.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_7/89.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Cindrella/Cook/cindrella_cook_8/41.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Hello/ishan_hello_20/38.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_10/28.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Stephen/Dead/stephen_dead_1/30.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Hello/ishan_hello_11/65.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_16/90.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Surendhar/Go/surendhar_go_20/31.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_12/49.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_20/42.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_9/48.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Venkatesh/Sorry/venkatesh_sorry_6/37.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Vinayak/Good/vinayak_good_6/38.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Good/ishan_good_9/85.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_10/27.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Cindrella/Go/cindrella_go_20/39.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_20/96.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Thankyou/ishan_thankyou_10/72.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ranadeep/Brush/ranadeep_brush_3/48.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_8/68.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Brush/ishan_brush_15/37.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_10/62.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Anirudh/Sorry/anirudh_sorry_10/30.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Anirudh/Bye/anirudh_bye_20/44.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Surendhar/Brush/surendhar_brush_12/42.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_6/33.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Sandeep/Sorry/sandeep_sorry_16/26.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Dead/ishan_dead_10/51.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_7/39.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_12/29.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Hello/ishan_hello_13/57.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_15/44.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_19/24.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Thankyou/ishan_thankyou_2/75.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Thankyou/ishan_thankyou_5/42.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_13/64.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_11/109.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Anirudh/Sorry/anirudh_sorry_9/45.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Varmija/Beautiful/varmija_beautiful_19/30.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_9/80.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ranadeep/Good/ranadeep_good_12/41.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_9/48.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Rounit/Hello/rounit_hello_10/24.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_7/83.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Good/ishan_good_2/57.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Rounit/Sorry/rounit_sorry_11/49.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_2/31.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Sorry/ishan_sorry_20/79.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Beautiful/ishan_beautiful_14/95.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Sandeep/Beautiful/sandeep_beautiful_4/43.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_17/58.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_4/66.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_11/83.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Dead/ishan_dead_15/39.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Good/ishan_good_7/48.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Rounit/Cook/rounit_cook_11/41.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Brush/ishan_brush_13/33.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Rounit/Hello/rounit_hello_1/22.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Cindrella/Good/cindrella_good_20/42.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Good/ishan_good_12/92.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_2/39.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Go/ishan_go_20/45.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Brush/ishan_brush_9/91.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Good/ishan_good_11/36.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Cook/ishan_cook_12/98.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Hello/ishan_hello_16/47.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ishan/Brush/ishan_brush_4/36.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Cindrella/Go/cindrella_go_5/39.npy,none
/4TBHD/ISL/data_preparation/test_all/keypoints/Ranadeep/Cook/ranadeep_cook_14/44.npy,none
