Image Name,right_fingertips orientation keys
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/19.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/20.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/21.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/22.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/23.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/24.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/25.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/26.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/27.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/28.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/29.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/30.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/31.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/32.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/33.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/34.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/57.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/58.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/59.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/60.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/61.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/62.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/63.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/64.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/65.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/66.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/67.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/6.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/7.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/8.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/9.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/10.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/11.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/12.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/13.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/14.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/15.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/16.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/17.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/18.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/19.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/20.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/21.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/22.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/23.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/24.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/25.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/26.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/27.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/28.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/29.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/30.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/31.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/32.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/33.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/34.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/35.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/36.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/37.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/38.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/39.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/40.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/41.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/42.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/43.npy,open
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/44.npy,open
