Image Name,right_fingers_joined_keys
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/42.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/43.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/44.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/45.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/46.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/47.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/48.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/49.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/50.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/51.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/52.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/53.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/54.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/55.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/56.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/57.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/58.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/59.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/60.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/61.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/62.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/63.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/64.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/65.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/66.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/67.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/68.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/69.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/70.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/71.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/72.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/73.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/74.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/75.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/76.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/77.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/78.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/79.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/80.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/81.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/82.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/83.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/84.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/85.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/86.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/87.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/88.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/89.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/90.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/mobile/91.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/21.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/22.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/23.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/24.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/25.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/26.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/27.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/light/28.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/13.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/14.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/15.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/16.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/17.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/18.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/19.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/20.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/21.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/22.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/23.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/24.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/25.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/35.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/36.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/37.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/38.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/39.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/43.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/44.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/45.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/46.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/47.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/48.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/49.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/50.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/51.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/52.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/53.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/54.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/55.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/56.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/57.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/58.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/59.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/60.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/61.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/62.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/63.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/64.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/65.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/66.npy,joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/19.npy,not joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/20.npy,not joined
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/21.npy,not joined
