Image Name,right_finger_closeness_to_face
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/5.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/13.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/38.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/39.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/14.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/15.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/16.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/17.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/18.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/19.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/20.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/21.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/22.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/23.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Clever/24.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/47.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/48.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/49.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/50.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/51.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/52.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/53.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/54.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/55.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/56.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/57.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/58.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/59.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/60.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/61.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/62.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/63.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/64.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/65.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/66.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Strawberry/67.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/loss/34.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/loss/35.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/loss/36.npy,eyes
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Name/31.npy,eyes
